화면명,화면경로,ID,사용,코드유형,ko,en,ja,zh-TW,zh-CN,es,vi,original ko,original en,original ja,original zh-TW,original zh-CN,original es,original vi,BE 에러코드,공통버튼(B),공통(C),10/22 Backup original ja
S_COM_SI_02,[User] Global / Space > 홈 > 로그인 > 이메일 로그인,S00015,사용,일반,로그인 상태 유지,Stay logged in,ログイン状態の維持,保持登入狀態,保持登录状态,Seguir conectado,Duy trì trạng thái đăng nhập,로그인 상태 유지,Stay logged in,ログイン状態の維持,保持登入狀態,保持登录状态,Seguir conectado,Duy trì trạng thái đăng nhập,,,,ログイン状態を保持する
S_COM_SI_02,[User] Global / Space > 홈 > 로그인 > 이메일 로그인,S00016,사용,일반,비밀번호를 잊으셨나요?,Forgot your password?,パスワードをお忘れの方はこちら,忘記密碼?,忘记密码?,¿Olvidaste tu contraseña?,Quên mật khẩu?,비밀번호를 잊으셨나요?,Forgot your password?,パスワードをお忘れの方はこちら,忘記密碼?,忘记密码?,¿Olvidaste tu contraseña?,Quên mật khẩu?,,,,パスワードをお忘れの方はこちら。
S_COM_SI_02,[User] Global / Space > 홈 > 로그인 > 이메일 로그인,S00017,사용,일반,가입한 계정이 없으신가요?,Don't have an account?,初めてご利用の方,沒有註冊的帳號?,没有注册的账号?,¿No dispones de una cuenta?,Bạn chưa có tài khoản ư?,가입한 계정이 없으신가요?,Don't have an account?,初めてご利用の方,沒有註冊的帳號?,没有注册的账号?,¿No dispones de una cuenta?,Bạn chưa có tài khoản ư?,,,,はじめてご利用の方。
S_COM_SI_02,[User] Global / Space > 홈 > 로그인 > 이메일 로그인,S00018,사용,일반,회원가입,Create an account,会員登録,註冊會員,注册会员,Crear una cuenta,Đăng ký,회원가입,Create an account,会員登録,註冊會員,注册会员,Crear una cuenta,Đăng ký,,,,会員登録
S_COM_SI_02,[User] Global / Space > 홈 > 로그인 > 이메일 로그인,S00019,사용,에러,이메일과 비밀번호를 확인해주세요.,Incorrect email address or password. Please try again.,メールアドレスとパスワードをご確認ください。,請確認電子信箱和密碼,请确认电子邮箱和密码,"Dirección de correo electrónico o contraseña incorrecta. Por favor, inténtalo de nuevo.",Vui lòng kiểm tra email và mật khẩu của bạn.,이메일과 비밀번호를 확인해주세요.,Incorrect email address or password. Please try again.,メールアドレスとパスワードをご確認ください。,請確認電子信箱和密碼,请确认电子邮箱和密码,"Dirección de correo electrónico o contraseña incorrecta. Por favor, inténtalo de nuevo.",Vui lòng kiểm tra email và mật khẩu của bạn.,,,,メールアドレスとパスワードをご確認ください。
S_COM_SI_02,[User] Global / Space > 홈 > 로그인 > 이메일 로그인,S00020,사용,에러,이메일 형식이 올바른지 확인해주세요.,Please confirm that your email address is correct,メールアドレスが正しくありません。,請查看電子信箱格式是否正確,请查看电子邮箱格式是否正确,Confirma que tu dirección de correo electrónico es correcta,Vui lòng kiểm tra lại định dạng email.,이메일 형식이 올바른지 확인해주세요.,Please confirm that your email address is correct,メールアドレスが正しくありません。,請查看電子信箱格式是否正確,请查看电子邮箱格式是否正确,Confirma que tu dirección de correo electrónico es correcta,Vui lòng kiểm tra lại định dạng email.,,,,メールアドレスが正しくありません。
S_COM_SI_03,[User] Global / Space > 홈 > 로그인 > 이메일 로그인 > 비밀번호 찾기,S00024,사용,일반,가입 시 사용한 이메일 주소를 입력해주세요,Enter the email address you used when you created your account,登録の際に使用したメールアドレスを入力してください。,請輸入註冊時使用的電子信箱,请输入注册时使用的电子邮箱,Introduce la dirección de correo electrónico que utilizaste al crear tu cuenta.,Vui lòng nhập email bạn dùng để đăng ký.,가입 시 사용한 이메일 주소를 입력해주세요,Enter the email address you used when you created your account,登録の際に使用したメールアドレスを入力してください。,請輸入註冊時使用的電子信箱,请输入注册时使用的电子邮箱,Introduce la dirección de correo electrónico que utilizaste al crear tu cuenta.,Vui lòng nhập email bạn dùng để đăng ký.,,,,登録の際に使用したメールアドレスをご入力ください。
S_COM_SI_03,[User] Global / Space > 홈 > 로그인 > 이메일 로그인 > 비밀번호 찾기,S00025,사용,일반,비밀번호 재설정을 위한 안내 메일을 보내드릴게요,We'll send you an email to help you reset your password,パスワード再設定のための案内メールをお送りします。,我們將向您發送通知信件，以重新設定密碼,我们将向您发送通知邮件，以重新设置密码,Te enviaremos un correo electrónico para ayudarte a restablecer tu contraseña.,Chúng tôi sẽ gửi email hướng dẫn đặt lại mật khẩu cho bạn.,비밀번호 재설정을 위한 안내 메일을 보내드릴게요,We'll send you an email to help you reset your password,パスワード再設定のための案内メールをお送りします。,我們將向您發送通知信件，以重新設定密碼,我们将向您发送通知邮件，以重新设置密码,Te enviaremos un correo electrónico para ayudarte a restablecer tu contraseña.,Chúng tôi sẽ gửi email hướng dẫn đặt lại mật khẩu cho bạn.,,,,パスワード再設定のための案内メールをお送りします。
S_COM_SI_03,[User] Global / Space > 홈 > 로그인 > 이메일 로그인 > 비밀번호 찾기,S00027,사용,일반,비밀번호 재설정 이메일 보내기,Reset password,パスワード再設定のメールを送る,發送重設密碼信件,发送重置密码邮件,Restablecer contraseña,Gửi email đặt lại mật khẩu,비밀번호 재설정 이메일 보내기,Reset password,パスワード再設定のメールを送る,發送重設密碼信件,发送重置密码邮件,Restablecer contraseña,Gửi email đặt lại mật khẩu,,,,パスワード再設定のメールを送る
S_COM_SI_04,[User] Global / Space > 홈 > 로그인 > 이메일 로그인 > 비밀번호 찾기 > 메일보내기완료,S00028,사용,일반,발송 완료,Email sent,送信完了,成功發送,成功发送,Correo electrónico enviado,Đã gửi,발송 완료,Email sent,送信完了,成功發送,成功发送,Correo electrónico enviado,Đã gửi,,,,送信完了
S_COM_SI_04,[User] Global / Space > 홈 > 로그인 > 이메일 로그인 > 비밀번호 찾기 > 메일보내기완료,S00029,사용,일반,{{str}}로 보낸 안내 메일을 확인해주세요,Password reset email sent\nto {{str}},{{str}}に送信した案内メールをご確認ください。,請查看發送至{{str}}的通知信件,请查看发送至{{str}}的通知邮件,Se ha enviado un correo electrónico para restablecer la contraseña a {{str}},Vui lòng kiểm tra email hướng dẫn được gửi đến {{str}}.,{{str}}로 보낸 안내 메일을 확인해주세요,Password reset email sent\nto {{str}},{{str}}に送信した案内メールをご確認ください。,請查看發送至{{str}}的通知信件,请查看发送至{{str}}的通知邮件,Se ha enviado un correo electrónico para restablecer la contraseña a {{str}},Vui lòng kiểm tra email hướng dẫn được gửi đến {{str}}.,,,,{{str}}に送信した案内メールをご確認ください。
S_COM_SI_03,[User] Global / Space > 홈 > 로그인 > 이메일 로그인 > 비밀번호 찾기,S00031,사용,일반,비밀번호를 입력해주세요,Enter your password,新しいパスワードを入力,請輸入新密碼,请输入新密码,Introduce tu nueva contraseña,Vui lòng nhập mật khẩu.,비밀번호를 입력해주세요,Enter your password,新しいパスワードを入力,請輸入新密碼,请输入新密码,Introduce tu nueva contraseña,Vui lòng nhập mật khẩu.,,,,新しいパスワードをご入力ください
S_COM_SI_03,[User] Global / Space > 홈 > 로그인 > 이메일 로그인 > 비밀번호 찾기,S00032,사용,일반,비밀번호,Password,新しいパスワード,新密碼,新密码,Nueva contraseña,Mật khẩu,비밀번호,Password,新しいパスワード,新密碼,新密码,Nueva contraseña,Mật khẩu,,,,新しいパスワード
S_COM_SI_03,[User] Global / Space > 홈 > 로그인 > 이메일 로그인 > 비밀번호 찾기,S00033,사용,일반,8자 이상,8 Characters or more,8文字以上,8個字元以上,8个字符以上,8 caracteres o más,Tối thiểu 8 ký tự,8자 이상,8 Characters or more,8文字以上,8個字元以上,8个字符以上,8 caracteres o más,Tối thiểu 8 ký tự,,,,8文字以上
S_COM_SI_03,[User] Global / Space > 홈 > 로그인 > 이메일 로그인 > 비밀번호 찾기,S00034,사용,일반,영문,Letters,英字,英文,英文,Letras A-Z,Tiếng Anh,영문,Letters,英字,英文,英文,Letras A-Z,Tiếng Anh,,,,英字
S_COM_SI_03,[User] Global / Space > 홈 > 로그인 > 이메일 로그인 > 비밀번호 찾기,S00035,사용,일반,숫자,Numbers,数字,數字,数字,Números,Số,숫자,Numbers,数字,數字,数字,Números,Số,,,,数字
S_COM_SI_03,[User] Global / Space > 홈 > 로그인 > 이메일 로그인 > 비밀번호 찾기,S00036,사용,일반,특수문자,Special characters,特殊文字,特殊字元,特殊字符,Caracteres especiales,Ký tự đặc biệt,특수문자,Special characters,特殊文字,特殊字元,特殊字符,Caracteres especiales,Ký tự đặc biệt,,,,特殊文字
S_COM_SI_03,[User] Global / Space > 홈 > 로그인 > 이메일 로그인 > 비밀번호 찾기,S00037,사용,버튼,다음,Next,次へ,繼續,继续,Siguiente,Tiếp theo,다음,Next,次へ,繼續,继续,Siguiente,Tiếp theo,,,,次へ
S_COM_SI_03,[User] Global / Space > 홈 > 로그인 > 이메일 로그인 > 비밀번호 찾기,S00038,사용,일반,비밀번호 확인,Confirm password,確認用パスワード,確認新密碼,确认新密码,Confirmar nueva contraseña,Xác nhận mật khẩu,비밀번호 확인,Confirm password,確認用パスワード,確認新密碼,确认新密码,Confirmar nueva contraseña,Xác nhận mật khẩu,,,,再入力してください
S_COM_SI_03,[User] Global / Space > 홈 > 로그인 > 이메일 로그인 > 비밀번호 찾기,S00039,사용,일반,비밀번호를 다시 입력해주세요,Re-enter your password,確認のため、もう一度入力,請重新輸入密碼,请重新输入密码,Vuelva a introducir la nueva contraseña,Vui lòng nhập lại mật khẩu.,비밀번호를 다시 입력해주세요,Re-enter your password,確認のため、もう一度入力,請重新輸入密碼,请重新输入密码,Vuelva a introducir la nueva contraseña,Vui lòng nhập lại mật khẩu.,,,,パスワードを再入力してください
S_COM_SI_03,[User] Global / Space > 홈 > 로그인 > 이메일 로그인 > 비밀번호 찾기,S00040,사용,버튼,완료,Confirm,完了,完成,完成,Establecer contraseña,Hoàn tất,완료,Confirm,完了,完成,完成,Establecer contraseña,Hoàn tất,,완료,완료,完了
S_COM_SU_01,[User] Global / Space > 홈 > 로그인 > 회원가입 > 이메일 입력,S00042,사용,일반,아이디로 사용할\n이메일을 입력해주세요,Enter the email address\nto use as your user ID,ログインIDとして使用する\nメールアドレスを入力してください。,請輸入您要作為ID使用的\n電子信箱,请输入您要作为ID使用的\n电子邮箱,"Por favor, introduce la dirección de correo electrónico\n que deseas utilizar como ID de usuario",Vui lòng nhập email để sử dụng làm ID,아이디로 사용할\n이메일을 입력해주세요,Enter the email address\nto use as your user ID,ログインIDとして使用する\nメールアドレスを入力してください。,請輸入您要作為ID使用的\n電子信箱,请输入您要作为ID使用的\n电子邮箱,"Por favor, introduce la dirección de correo electrónico\n que deseas utilizar como ID de usuario",Vui lòng nhập email để sử dụng làm ID,,,,ログインIDとして使用する\nメールアドレスをご入力ください
S_COM_SU_01,[User] Global / Space > 홈 > 로그인 > 회원가입 > 이메일 입력,S00044,사용,일반,이메일 인증하기,Verify email,メール認証をする,電子信件驗證,电子邮件验证,Verificar correo electrónico,Xác thực email,이메일 인증하기,Verify email,メール認証をする,電子信件驗證,电子邮件验证,Verificar correo electrónico,Xác thực email,,이메일 인증하기,,メール認証
S_COM_SU_01,[User] Global / Space > 홈 > 로그인 > 회원가입 > 이메일 입력,S00045,사용,일반,올바른 이메일 형식이 아니에요,Invalid email format,メールアドレスの形式が正しくありません。,電子信箱格式錯誤,电子邮箱格式错误,Formato de correo electrónico inválido,Định dạng email không hợp lệ.,올바른 이메일 형식이 아니에요,Invalid email format,メールアドレスの形式が正しくありません。,電子信箱格式錯誤,电子邮箱格式错误,Formato de correo electrónico inválido,Định dạng email không hợp lệ.,,,,メールアドレスの形式が正しくありません
S_COM_SU_02,[User] Global / Space > 홈 > 로그인 > 회원가입 > 이메일 인증,S00049,사용,일반,이메일로 전송된\n 인증 번호를 입력해주세요,Enter\nthe verification code sent to your email,メールに送信された\n認証コードを入力してください。,請輸入電子信件發送的\n驗證碼,请输入通过电子邮件发送的\n验证码,Introduce\n el código de verificación que te hemos enviado a tu correo electrónico,Vui lòng nhập mã xác thực đã gửi đến email của bạn.,이메일로 전송된\n 인증 번호를 입력해주세요,Enter\nthe verification code sent to your email,メールに送信された\n認証コードを入力してください。,請輸入電子信件發送的\n驗證碼,请输入通过电子邮件发送的\n验证码,Introduce\n el código de verificación que te hemos enviado a tu correo electrónico,Vui lòng nhập mã xác thực đã gửi đến email của bạn.,,,,メールに送信された\n認証コードをご入力ください
S_COM_SU_02,[User] Global / Space > 홈 > 로그인 > 회원가입 > 이메일 인증,S00050,사용,일반,인증 번호 6자리 입력,Enter 6-digit verification code,6桁の認証コードを入力,輸入6位驗證碼,输入6位验证码,Introduce el código de verificación de 6 dígitos,Nhập mã xác thực gồm 6 chữ số,인증 번호 6자리 입력,Enter 6-digit verification code,6桁の認証コードを入力,輸入6位驗證碼,输入6位验证码,Introduce el código de verificación de 6 dígitos,Nhập mã xác thực gồm 6 chữ số,,,,6桁の認証コードを入力
S_COM_SU_02,[User] Global / Space > 홈 > 로그인 > 회원가입 > 이메일 인증,S00052,사용,일반,인증 번호가 오지 않았나요?,Didn't receive a code?,認証コードが届いていませんか?,未收到驗證碼?,未收到验证码?,¿No has recibido el código?,Bạn chưa nhận được mã xác thực?,인증 번호가 오지 않았나요?,Didn't receive a code?,認証コードが届いていませんか?,未收到驗證碼?,未收到验证码?,¿No has recibido el código?,Bạn chưa nhận được mã xác thực?,,,,認証コードが届いていませんか?
S_COM_SU_02,[User] Global / Space > 홈 > 로그인 > 회원가입 > 이메일 인증,S00053,사용,일반,인증 메일 다시 보내기,Resend verification email,認証メールを再送する,重新發送驗證信件,重新发送验证邮件,Volver a enviar el correo electrónico de verificación,Gửi lại email xác thực,인증 메일 다시 보내기,Resend verification email,認証メールを再送する,重新發送驗證信件,重新发送验证邮件,Volver a enviar el correo electrónico de verificación,Gửi lại email xác thực,,,,認証メールを再送する
S_COM_SU_02,[User] Global / Space > 홈 > 로그인 > 회원가입 > 이메일 인증,S00055,사용,일반,인증 번호 입력 시간이 지났어요.\n다시 시도해주세요.,The time to enter your verification code has expired.\n Please try again.,認証コードの入力時間が経過しました。\nもう一度やり直してください。,驗證碼已過期。\n請重試。,验证码已过期。\n请重试。,El tiempo para introducir tu código de verificación ha expirado.\n Inténtalo de nuevo.,Đã hết thời gian nhập mã xác thực. Vui lòng thử lại.,인증 번호 입력 시간이 지났어요.\n다시 시도해주세요.,The time to enter your verification code has expired.\n Please try again.,認証コードの入力時間が経過しました。\nもう一度やり直してください。,驗證碼已過期。\n請重試。,验证码已过期。\n请重试。,El tiempo para introducir tu código de verificación ha expirado.\n Inténtalo de nuevo.,Đã hết thời gian nhập mã xác thực. Vui lòng thử lại.,,,,認証コードの入力時間が経過しました。\nもう一度実行してください。
S_COM_SU_02,[User] Global / Space > 홈 > 로그인 > 회원가입 > 이메일 인증,S00057,사용,일반,인증을 취소하고 처음부터 다시 진행할까요?,Cancel verification and start again?,認証を取り消して、最初からやり直しますか?,是否取消驗證重新開始?,是否取消验证重新开始?,¿Cancelar la verificación y empezar de nuevo?,Hủy xác minh và bắt đầu lại từ đầu?,인증을 취소하고 처음부터 다시 진행할까요?,Cancel verification and start again?,認証を取り消して、最初からやり直しますか?,是否取消驗證重新開始?,是否取消验证重新开始?,¿Cancelar la verificación y empezar de nuevo?,Hủy xác minh và bắt đầu lại từ đầu?,,,,認証を取り消して、最初からやり直しますか?
S_COM_SU_02,[User] Global / Space > 홈 > 로그인 > 회원가입 > 이메일 인증,S00059,사용,일반,네,Yes,はい,是的,是的,Sí,Vâng,네,Yes,はい,是的,是的,Sí,Vâng,,,,はい
S_COM_SU_03,[User] Global / Space > 홈 > 로그인 > 회원가입 > 비밀번호 입력,S00060,사용,일반,비밀번호를\n입력해주세요,Enter\nyour password,パスワードを\n入力してください。,請輸入密碼,请输入密码,Introduce\ntu contraseña,Vui lòng nhập mật khẩu của bạn.,비밀번호를\n입력해주세요,Enter\nyour password,パスワードを\n入力してください。,請輸入密碼,请输入密码,Introduce\ntu contraseña,Vui lòng nhập mật khẩu của bạn.,,,,パスワードを\n入力してください。
S_COM_SU_03,[User] Global / Space > 홈 > 로그인 > 회원가입 > 비밀번호 입력,S00061,사용,일반,비밀번호,Password,パスワード,密碼,密码,Contraseña,Mật khẩu,비밀번호,Password,パスワード,密碼,密码,Contraseña,Mật khẩu,,,,パスワード
S_COM_SU_04,[User] Global / Space > 홈 > 로그인 > 회원가입 > 비밀번호 확인,S00067,사용,일반,다시 한번 입력해주세요,Please confirm your password,もう一度入力してください。,請重新輸入,请重新输入,Confirma tu contraseña,Vui lòng nhập lại.,다시 한번 입력해주세요,Please confirm your password,もう一度入力してください。,請重新輸入,请重新输入,Confirma tu contraseña,Vui lòng nhập lại.,,,,もう一度入力してください。
S_COM_SU_04,[User] Global / Space > 홈 > 로그인 > 회원가입 > 비밀번호 확인,S00068,사용,일반,비밀번호를 다시 입력해주세요,Re-enter your password,パスワードをもう一度入力してください。,請重新輸入密碼,请重新输入密码,Vuelve a introducir tu contraseña,Vui lòng nhập lại mật khẩu.,비밀번호를 다시 입력해주세요,Re-enter your password,パスワードをもう一度入力してください。,請重新輸入密碼,请重新输入密码,Vuelve a introducir tu contraseña,Vui lòng nhập lại mật khẩu.,,,,パスワードをもう一度入力してください。
S_COM_SU_04,[User] Global / Space > 홈 > 로그인 > 회원가입 > 비밀번호 확인,S00070,사용,일반,비밀번호가 일치하지 않아요.,Passwords do not match,パスワードが一致しません。,密碼不一致,密码不一致,Las contraseñas no coinciden,Mật khẩu không khớp.,비밀번호가 일치하지 않아요.,Passwords do not match,パスワードが一致しません。,密碼不一致,密码不一致,Las contraseñas no coinciden,Mật khẩu không khớp.,,,,パスワードが一致しません
S_COM_LT_01,[User] Global / Space > 홈 > 로그인 > 회원가입 > 약관 동의,S00071,사용,일반,약관 동의가 필요해요,Terms and Conditions,会員規約をご確認ください。,請查看會員條款,请查看会员条款,Lee los términos y condiciones,Bạn cần đồng ý với các điều khoản.,약관 동의가 필요해요,Terms and Conditions,会員規約をご確認ください。,請查看會員條款,请查看会员条款,Lee los términos y condiciones,Bạn cần đồng ý với các điều khoản.,,,,会員規約をご確認ください
S_COM_LT_01,[User] Global / Space > 홈 > 로그인 > 회원가입 > 약관 동의,S00072,사용,일반,모두 동의,Agree to all,すべて同意,全部同意,全部同意,Aceptar todo,Đồng ý tất cả,모두 동의,Agree to all,すべて同意,全部同意,全部同意,Aceptar todo,Đồng ý tất cả,,,,すべて同意する
S_COM_LT_01,[User] Global / Space > 홈 > 로그인 > 회원가입 > 약관 동의,S00073,사용,일반,필수,Required,必須,必選,必选,Requerido,Bắt buộc,필수,Required,必須,必選,必选,Requerido,Bắt buộc,,,필수,必須
S_COM_LT_01,[User] Global / Space > 홈 > 로그인 > 회원가입 > 약관 동의,S00074,미사용,,비밀번호 확인,Confirm password,パスワードの確認,確認密碼,确认密码,Confirmar contraseña,Xác nhận mật khẩu,비밀번호 확인,Confirm password,パスワードの確認,確認密碼,确认密码,Confirmar contraseña,Xác nhận mật khẩu,,,,
,,,,,,,,,,,,,,,,,,,,,,
S_COM_SU_05,[User] Global / Space > 홈 > 로그인 > 회원가입 > 프로필 설정,S00077,사용,일반,추가 정보를 입력해주세요,Please enter additional information,追加情報を入力してください。,請輸入附加資訊,请输入附加信息,"Por favor, introduce información adicional",Vui lòng nhập thông tin bổ sung.,추가 정보를 입력해주세요,Please enter additional information,追加情報を入力してください。,請輸入附加資訊,请输入附加信息,"Por favor, introduce información adicional",Vui lòng nhập thông tin bổ sung.,,,,追加情報を入力してください。
S_COM_SU_05,[User] Global / Space > 홈 > 로그인 > 회원가입 > 프로필 설정,S00078,사용,일반,닉네임(필수),Nickname (required),ニックネーム(必須),暱稱(必填),昵称(必填),Apodo (obligatorio),Biệt danh (Bắt buộc),닉네임(필수),Nickname (required),ニックネーム(必須),暱稱(必填),昵称(必填),Apodo (obligatorio),Biệt danh (Bắt buộc),,,,ニックネーム(必須)
S_COM_SU_05,[User] Global / Space > 홈 > 로그인 > 회원가입 > 프로필 설정,S00079,사용,일반,닉네임을 입력해주세요,Enter your nickname,ニックネームを入力してください。,請輸入暱稱,请输入昵称,Introduce tu apodo,Vui lòng nhập biệt danh của bạn,닉네임을 입력해주세요,Enter your nickname,ニックネームを入力してください。,請輸入暱稱,请输入昵称,Introduce tu apodo,Vui lòng nhập biệt danh của bạn,,,,ニックネームを入力してください。
S_COM_SU_05,[User] Global / Space > 홈 > 로그인 > 회원가입 > 프로필 설정,S00080,사용,일반,프로필 사진과 닉네임을 다른 사용자가 볼 수 있어요,All users can view your nickname and profile image.,プロフィール写真とニックネームは他のユーザーも閲覧できます。,其他使用者可以看到您的頭像和暱稱,其他用户可以看到您的头像和昵称,Tu apodo y tu foto de perfil serán visibles para otros usuarios,Ảnh hồ sơ và biệt danh của bạn sẽ hiển thị với người khác.,프로필 사진과 닉네임을 다른 사용자가 볼 수 있어요,All users can view your nickname and profile image.,プロフィール写真とニックネームは他のユーザーも閲覧できます。,其他使用者可以看到您的頭像和暱稱,其他用户可以看到您的头像和昵称,Tu apodo y tu foto de perfil serán visibles para otros usuarios,Ảnh hồ sơ và biệt danh của bạn sẽ hiển thị với người khác.,,,,プロフィール写真とニックネームを他のユーザーが閲覧できます
S_COM_SU_05,[User] Global / Space > 홈 > 로그인 > 회원가입 > 프로필 설정,S00083,사용,일반,이름 (선택),Name (optional),姓名(選択),名字(選填),名字(选填),Nombre (opcional),Tên (Tùy chọn),이름 (선택),Name (optional),姓名(選択),名字(選填),名字(选填),Nombre (opcional),Tên (Tùy chọn),,,,姓名(選択)
S_COM_SU_05,[User] Global / Space > 홈 > 로그인 > 회원가입 > 프로필 설정,S00084,사용,일반,이름을 입력해주세요,Enter your name,姓名を入力してください。,請輸入名字,请输入名字,Introduce tu nombre,Vui lòng nhập tên của bạn,이름을 입력해주세요,Enter your name,姓名を入力してください。,請輸入名字,请输入名字,Introduce tu nombre,Vui lòng nhập tên của bạn,,,,姓名をご入力ください
S_COM_SU_05,[User] Global / Space > 홈 > 로그인 > 회원가입 > 프로필 설정,S00085,사용,일반,전화번호 (선택),Phone number (optional),電話番号(選択),電話號碼(選填),电话号码(选填),Número de teléfono (opcional),Số điện thoại (tùy chọn),전화번호 (선택),Phone number (optional),電話番号(選択),電話號碼(選填),电话号码(选填),Número de teléfono (opcional),Số điện thoại (tùy chọn),,,,電話番号(選択)
S_COM_SU_05,[User] Global / Space > 홈 > 로그인 > 회원가입 > 프로필 설정,S00086,사용,일반,하이픈 없이 입력해주세요,Enter without hyphens (-),ハイフンなしで入力してください,请输入不带连字符的代码。,請輸入不帶連字符的代碼。,Introducir sin guiones (-),Vui lòng nhập không có dấu gạch ngang,하이픈 없이 입력해주세요,Enter without hyphens (-),ハイフンなしで入力してください,请输入不带连字符的代码。,請輸入不帶連字符的代碼。,Introducir sin guiones (-),Vui lòng nhập không có dấu gạch ngang,,,,ハイフンなしでご入力ください
S_COM_SU_05,[User] Global / Space > 홈 > 로그인 > 회원가입 > 프로필 설정,S00087,사용,일반,성별 (선택),Gender (optional),性別(選択),性別(選填),性别(选填),Género (opcional),Giới tính (tùy chọn),성별 (선택),Gender (optional),性別(選択),性別(選填),性别(选填),Género (opcional),Giới tính (tùy chọn),,,,性別(選択)
S_COM_SU_05,[User] Global / Space > 홈 > 로그인 > 회원가입 > 프로필 설정,S00088,사용,일반,성별을 선택해주세요,Choose your gender,性別を選択してください。,請選擇性別,请选择性别,Selecciona tu género,Vui lòng chọn giới tính,성별을 선택해주세요,Choose your gender,性別を選択してください。,請選擇性別,请选择性别,Selecciona tu género,Vui lòng chọn giới tính,,,,性別を選択してください
S_COM_SU_05,[User] Global / Space > 홈 > 로그인 > 회원가입 > 프로필 설정,S00089,사용,일반,출생 연도 (선택),Year of birth (optional),生年月日(選択),出生年月日(選填),出生年月日(选填),Año de nacimiento (opcional),Năm sinh (Tùy chọn),출생 연도 (선택),Year of birth (optional),生年月日(選択),出生年月日(選填),出生年月日(选填),Año de nacimiento (opcional),Năm sinh (Tùy chọn),,,,生年月日(選択)
